,name_1,prefecture,pref_id,data_year,data_ymd,n_staff_all,ave_age_staff_all,salary_staff_all,kimatsu_staff_all,n_staff_gyosei,ave_age_staff_gyosei,salary_staff_gyosei,kimatsu_staff_gyosei,name_2,daisotsu,tandaisotsu,kousotsu,n_newcomer,n_retire,salary_mayor,salary_vice_mayor,salary_chair,salary_vice_chair,salary_assembly_member,salary_education,mayor_sala_apply_ymd,assembly_sala_apply_ymd,education_sala_apply_ymd,ruiji_dantai
87,古平町,北海道,1,2015,20150401,74,38.5,2886,7785,60,39.8,2979,8206,古平町,174200,154800,142100,12,3,6500,5600,2400,1930,1620,5150,27.4.1,27.4.1,19.4.1,Ⅰ−１
88,仁木町,北海道,1,2015,20150401,63,40.1,3033,8836,51,41.2,3113,8966,仁木町,174200,154800,142100,2,1,6360,5620,2390,1930,1600,5240,20.4.1,17.4.1,20.4.1,Ⅰ−０
89,余市町,北海道,1,2015,20150401,193,43.9,3244,9565,148,43.1,3243,9649,余市町,174200,154800,142100,10,11,3330,4222,2900,2350,2000,5190,27.4.1,26.4.1,26.4.1,Ⅴ−２
90,赤井川村,北海道,1,2015,20150401,41,39.3,3003,8433,33,39.9,3054,8742,赤井川村,163600,151800,142100,4,4,6500,5750,2500,1890,1580,5350,26.4.1,26.4.1,26.4.1,Ⅰ−０
91,南幌町,北海道,1,2015,20150401,132,44.9,3327,9451,89,43.6,3302,9627,南幌町,174200,154800,142100,4,5,7540,6230,2950,2360,1950,5710,27.4.1,27.4.1,27.4.1,Ⅱ−０
92,奈井江町,北海道,1,2015,20150401,200,43.4,3012,8321,90,43.9,3136,8733,奈井江町,171587,152478,139969,2,1,6620,5660,2620,2080,1740,5090,27.4.1,18.4.1,27.4.1,Ⅱ−１
93,上砂川町,北海道,1,2015,20150401,67,44.4,3017,8543,46,43.5,3121,9232,上砂川町,174200,154800,142100,2,6,7110,6150,2790,2210,1850,5540,27.1.1,27.1.1,27.1.1,Ⅰ−２
94,由仁町,北海道,1,2015,20150401,113,42.6,3149,9435,67,42.0,2987,9208,由仁町,167232,148608,136416,4,3,6340,5720,2800,2220,1860,4930,27.4.1,27.4.1,27.4.1,Ⅱ−０
95,長沼町,北海道,1,2015,20150401,222,43.2,3124,8606,111,41.7,3020,8604,長沼町,174200,154800,142100,10,15,7210,5995,2980,2370,1930,5710,26.4.1,27.3.31,26.4.1,Ⅲ−０
96,栗山町,北海道,1,2015,20150401,143,44.0,3312,8874,99,43.5,3321,8900,栗山町,174200,154800,142100,3,4,7947,6679,3000,2390,1960,6128,26.6.1,14.1.1,26.6.1,Ⅲ−０
