,municipality_id,municipality,munici_English,Total population (Both sexes),Total population (0-14),Total population (15-64),Total population (65 and over),Foreigners (Total),Densely inhabited districts population,Live births,Deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,No. of nuclear families with household members 65 years of age and over,No. of aged-couple households (Only aged couple),No. of aged-single-person households (Aged 65 and over),Marriages,Divorces,Total land area (Excl. the northern territories and Takeshima),Inhabitable area,Taxable income,Tax debtor (per income),Number of establishments,Number of establishments (Secondary industry),Number of establishments (Tertiary industry),Number of persons engaged,Number of persons engaged (Secondary industry),Number of persons engaged (Tertiary industry),Cultivated land area,"Value of manufactured goods shipments, etc.",Number of manufacturing employees,Annual sales of commercial goods,Number of establishments (Wholesale and retail trade),Number of employees (Wholesale and retail trade),Financial strength index (municipalities),Real term balance of revenue to expenditure (municipalities),Ratio of net cost of bonds (municipalities),Settlement of total revenue (municipalities),Settlement of total expenditure (municipalities),Local taxes (municipalities),Number of kindergartens,Number of Kindergarten students,Number of elementary schools,Number of elementary school teachers,Elementary school students,Number of lower secondary schools,Number of lower secondary school teachers,Lower secondary school students,Number of upper secondary schools,Upper secondary school students,Population in labour force,Employed persons,Unemployed persons,Persons employed in primary industry,Persons employed in secondary industry,Persons employed in tertiary industry,No. of employees,"No. of board member of company, etc.","No. of self-employed, employing others","No. of self-employed, not employing others",No. of family employees (Total),Population working in the same municipalities,Commuters to other municipality,Employed persons based on workplace,Workers commuting from other municipalities,No. of public halls,No. of libraries,Number of dwellings with occupying households,No. of owned houses,No. of rented houses,Area of floor space per dwelling,Population covered by waste processing service,Garbage planned collection population,Total volume of waste matter (Total),Rate of recycled,No. of retail stores,No. of eating and drinking places,No. of large-scale retail stores,No. of department stores and general merchandise store,General hospitals,Medical clinics,Dental clinic,Physicians,Dentists,No. of pharmacists,No. of elderly nursing facilities,No. of child welfare institutions (Excl. midwifery home and children's playground),Number of nursery centers,Number of infants enrolled in nursery centers,Persons insured by national health insurance
1565,36201.0,徳島市　　　　,Tokushima-shi,258554,29732,151895,69378,1213,186426,2129,2947,7708,7580,280361,115015,114765,58085,46270,22448,12032,13835,1151,425,191.39,140.96,353974,108246,15031,1917,13049,142746,19773,122343,32,441416,10136,904998,2899,21710,0.81,0.2,6.5,95922,95062,39678,31,1979,34,864,12725,19,539,6957,13,8744,122326,116767,5559,4248,21836,84025,88996,7264,2738,8980,4732,90740,21019,132579,36831,41,2,112080,64740,45550,94.87,3591,256006,98596,14.2,2475,1861,24,1,42,299,177,1405,451,1451,12,97,67,5755,52262
1566,36202.0,鳴門市　　　　,Naruto-shi,59101,6600,33763,18448,270,20219,308,845,1361,1745,57187,23234,23153,13378,6826,5958,3135,3031,219,81,135.66,64.66,70431,24528,2895,458,2403,25267,7282,17766,19,290729,5183,80888,614,3478,0.65,3.8,15.7,25095,24245,7489,18,796,17,245,2608,6,130,1377,2,1692,28055,26748,1307,2647,6600,16728,20050,1246,645,2393,1987,16746,9549,25410,8211,12,1,22410,17000,5120,118.75,4713,59632,19601,26.8,582,271,4,0,5,52,29,148,44,237,5,22,19,976,15211
1567,36203.0,小松島市　　　,Komatsushima-shi,38755,4456,22238,11934,161,16266,209,533,1057,1418,36005,15233,15200,8872,4299,3989,2158,1946,155,66,45.37,38.82,45043,16253,1771,299,1443,16700,3239,12978,16,51053,1809,47729,394,2342,0.54,1,11.4,15551,15374,4361,4,88,11,172,1776,2,78,849,2,1189,19099,17962,1137,1461,4127,11961,14099,812,390,1546,898,9242,8449,15671,6158,11,1,15070,11360,3370,116.03,2431,39193,14602,12.5,387,157,5,0,7,27,19,212,33,128,2,18,11,806,8944
1568,36204.0,阿南市　　　　,Anan-shi,73019,9365,41090,22250,211,5020,501,932,1491,1724,73827,27193,27129,15761,7025,6947,3766,3233,296,109,279.25,128.92,89874,30148,3392,650,2698,36573,16137,20065,46,305266,10278,91281,675,3566,0.88,0.7,5.1,37260,35636,13421,13,547,26,339,3873,11,212,2083,5,2175,34803,33021,1782,3213,9902,19510,25413,1493,710,3225,1804,25041,7508,33935,8422,42,3,26450,21330,4720,133.08,6387,75109,27322,20.2,640,227,8,1,6,58,32,125,49,131,8,32,26,1628,15915
1569,36205.0,吉野川市　　　,Yoshinogawa-shi,41466,4434,22486,14336,258,6125,252,636,816,1030,38074,15714,15670,8942,4133,4373,2324,2217,129,56,144.14,61.28,42464,16367,2058,363,1677,14906,3157,11607,17,35577,1921,45464,422,2290,0.38,6.4,9.7,20635,19664,4072,14,186,17,209,1840,6,96,1020,2,843,19304,18245,1059,1259,4503,11795,13690,872,428,1864,1014,9837,7881,15547,5183,37,2,15450,12540,2800,126.05,1434,42527,14500,19.6,423,196,4,0,4,51,26,124,37,94,4,14,10,891,9433
1570,36206.0,阿波市　　　　,Awa-shi,37202,4134,20593,12427,293,...,211,520,659,800,33539,13108,13059,7312,2811,3675,1844,1533,107,50,191.11,90.03,36433,14028,1410,325,1065,11060,3746,7160,37,45682,2354,28098,254,1524,0.35,3.8,6.2,20350,19742,3526,7,196,11,155,1731,4,87,935,2,812,18735,17637,1098,3416,4458,9573,11911,707,427,2608,1811,10367,7059,14531,3953,12,4,12880,11410,1430,144.33,1124,38822,10765,14.8,245,94,4,0,3,30,19,44,27,26,4,9,9,735,9403
1571,36207.0,美馬市　　　　,Mima-shi,30501,3084,16526,10796,270,...,164,502,594,700,29761,11440,11377,6200,3041,3082,1619,1754,96,32,367.14,75.04,29305,11460,1548,278,1251,11819,2691,8963,21,47111,1343,43597,335,1906,0.3,4.7,9.2,23810,23056,2990,6,166,8,128,1226,7,107,727,2,819,14161,13039,1122,1253,3736,7943,9804,621,302,1409,775,8590,4293,12432,3686,5,1,11730,9740,1660,126.3,5838,30489,8280,14.1,339,100,3,0,5,32,16,56,20,65,3,6,4,514,6364
1572,36208.0,三好市　　　　,Miyoshi-shi,26836,2326,13500,10992,163,...,118,536,526,807,27676,11311,11248,5913,3768,3259,1825,2247,69,29,721.42,89.15,25559,10089,1787,323,1447,12054,2938,8951,14,25456,1164,29018,361,1453,0.21,5.5,6.5,25249,24278,2618,13,84,18,152,928,6,90,520,3,880,12051,11589,462,797,2917,7553,8693,555,263,1293,590,8862,2508,12264,3183,62,2,11830,9850,1930,123.73,5608,27788,9145,12.2,364,110,2,0,4,28,13,67,14,52,5,12,10,515,5899
1573,36301.0,勝浦町　　　　,Katsuura-cho,5301,504,2696,2101,20,...,28,92,115,126,5037,1860,1853,962,436,562,324,309,18,7,69.83,22.64,5121,2021,277,80,187,1928,741,1137,7,11894,407,2751,55,194,0.25,8.2,3.9,3845,3611,490,0,0,2,25,204,1,14,112,1,117,2896,2788,108,773,613,1393,1640,136,99,525,377,1740,1030,2474,716,1,1,...,...,...,...,908,5452,1293,21,48,12,0,0,1,2,3,3,4,3,1,2,2,138,1276
1574,36302.0,上勝町　　　　,Kamikatsu-cho,1545,111,593,841,11,...,9,36,34,35,1664,732,730,337,311,233,163,205,8,4,109.63,12.64,1168,504,111,28,80,712,239,448,2,X,23,X,17,31,0.11,11.8,4.4,3036,2775,135,0,0,1,13,42,1,12,30,0,0,862,835,27,389,117,328,393,23,21,254,144,718,116,963,244,0,0,...,...,...,...,643,1637,310,81,19,7,0,0,0,4,0,1,0,1,1,1,1,34,390
1575,36321.0,佐那河内村　　,Sanagouchi-son,2289,194,1107,988,9,...,10,41,42,57,1907,793,791,395,158,257,138,116,10,2,42.28,13.18,2103,895,110,40,69,574,147,422,4,X,51,X,19,47,0.15,4.3,4.4,2500,2392,199,0,0,1,11,83,1,16,48,0,0,1373,1348,25,542,246,552,699,24,53,312,257,842,503,1023,178,4,1,...,...,...,...,126,2470,426,34.3,19,6,0,0,0,2,0,0,0,0,1,1,1,60,694
1576,36341.0,石井町　　　　,Ishii-cho,25590,3232,14463,7670,150,...,170,316,696,706,22321,9327,9308,5607,2114,2462,1262,952,96,43,28.85,26.48,29624,10706,1217,213,990,9139,2063,7015,12,37611,1758,39890,223,1508,0.51,7.3,5.5,9813,9311,2548,6,400,6,97,1293,2,47,609,1,495,12187,11575,612,1106,2526,7779,8848,516,239,1149,681,4925,6501,8872,3798,6,0,8760,7820,900,143.97,2038,26253,8694,21.2,237,85,2,1,2,24,17,36,19,57,0,6,6,436,5714
1577,36342.0,神山町　　　　,Kamiyama-cho,5300,300,2378,2622,38,...,16,146,88,151,4919,2156,2149,1095,636,776,489,454,15,9,173.3,24.19,3991,1771,366,106,250,1788,448,1203,5,1041,84,1468,61,138,0.21,6.1,2.6,5160,4856,497,0,0,2,23,115,1,15,72,1,86,2784,2667,117,860,491,1309,1442,93,62,655,412,1870,791,2347,471,6,0,...,...,...,...,442,5695,625,56,69,17,0,0,0,5,3,4,4,3,1,2,2,102,1420
1578,36368.0,那賀町　　　　,Naka-cho,8402,698,3731,3914,13,...,38,204,144,242,8519,3481,3472,1886,1014,1211,730,690,24,9,694.98,35.67,7908,3136,563,122,426,3477,1241,2060,7,24210,603,4586,117,377,0.19,16.3,6.6,14862,12489,944,0,0,6,42,285,4,41,160,1,222,3918,3781,137,717,1054,1999,2657,137,89,526,358,3061,703,3887,809,22,1,...,...,...,...,1550,8918,2341,26.8,116,39,0,0,1,10,2,11,3,19,2,3,3,85,2052
1579,36383.0,牟岐町　　　　,Mugi-cho,4259,336,1880,2043,27,...,7,75,102,156,4200,1871,1866,1052,622,667,422,407,12,4,56.62,7.27,3570,1519,322,49,268,1743,334,1399,2,845,116,2796,75,214,0.19,24.8,6.5,3973,3440,322,0,0,1,17,129,1,13,82,0,0,1901,1844,57,263,360,1217,1261,66,78,295,138,1289,538,1877,571,0,1,...,...,...,...,712,4391,1822,11.1,87,17,0,0,1,8,3,14,4,15,1,1,1,62,1284
1580,36387.0,美波町　　　　,Minami-cho,7092,579,3305,3208,35,...,30,150,168,213,6906,2901,2886,1635,879,1026,650,554,27,7,140.8,15.47,6051,2453,431,78,348,2467,430,1979,4,2291,171,4586,82,260,0.17,6.5,5.1,7189,6861,516,0,0,5,32,208,4,27,126,0,0,3123,2934,189,466,577,1858,1953,111,83,532,227,2085,811,2924,801,32,1,...,...,...,...,2874,7173,2371,6.8,91,31,0,0,1,7,3,11,3,15,2,7,5,142,1942
1581,36388.0,海陽町　　　　,Kaiyo-cho,9283,818,4451,3987,172,...,28,198,196,256,9217,4198,4186,2263,1454,1322,786,845,27,16,327.65,28.46,7678,3308,595,109,472,3657,1150,2406,8,21379,753,9744,127,559,0.18,5.7,1.8,8606,8209,750,1,33,3,41,316,2,33,222,1,357,4447,4210,237,693,1077,2431,2903,149,156,654,334,3484,693,4045,528,5,2,...,...,...,...,1480,9880,3457,8.1,138,42,0,0,1,7,7,11,9,25,1,5,4,179,2887
1582,36401.0,松茂町　　　　,Matsushige-cho,15204,2100,9388,3568,61,...,123,159,746,878,16529,5881,5858,3458,1832,1130,601,470,86,26,14.24,14.18,20599,6792,649,105,539,9250,2975,6236,3,132541,2348,51054,126,1344,0.9,2,-1.1,7235,7156,2730,4,285,3,59,827,1,32,418,0,0,7639,7286,353,628,1956,4605,5874,264,142,497,425,3296,3907,9193,5814,1,1,5600,3710,1770,114.28,140,15396,6372,14.5,116,51,3,0,2,11,6,20,12,26,1,8,3,259,3322
1583,36402.0,北島町　　　　,Kitajima-cho,22446,3392,13480,5385,96,13095,216,212,964,944,19887,8824,8813,5488,2452,1869,992,818,109,46,8.74,8.74,31953,10130,867,122,742,8916,1741,7139,2,44938,1270,69606,210,2018,0.76,6.1,4.2,7704,7304,3167,3,250,3,93,1371,1,40,653,0,0,10809,10388,421,259,2809,6961,8635,493,179,586,261,3474,6584,8569,4765,1,1,8880,5660,2910,102.78,293,23095,6905,15.1,210,71,4,1,3,21,15,57,23,93,1,11,6,578,4456
1584,36403.0,藍住町　　　　,Aizumi-cho,34626,5361,21445,7591,131,...,341,319,1450,1273,29533,13133,13104,8488,3238,2588,1355,1082,163,81,16.27,16.27,44230,15176,1389,211,1176,13078,3765,9309,6,69910,2511,70456,338,3028,0.7,5,4.3,10508,10022,4027,4,684,4,137,2096,2,78,1012,0,0,17209,16175,1034,744,4432,10758,13239,669,351,1057,653,6428,9500,12442,5767,0,1,12190,8860,2970,109.17,712,34931,10387,20.9,337,137,8,1,2,29,17,46,25,70,2,13,4,555,7372
1585,36404.0,板野町　　　　,Itano-cho,13358,1451,7851,4019,111,...,84,196,434,371,13528,4930,4912,2805,1251,1278,625,566,57,24,36.22,19.64,14280,5288,539,105,428,5433,1164,4136,7,69520,760,18033,106,708,0.51,8.6,10.6,5695,5358,1488,4,161,4,54,615,1,28,330,1,536,6318,5932,386,644,1487,3668,4390,245,187,578,445,2573,3257,5993,3318,2,1,...,...,...,...,971,13686,4724,19.3,110,37,2,0,2,12,6,36,11,34,1,5,2,181,3406
1586,36405.0,上板町　　　　,Kamiita-cho,12039,1344,6777,3778,63,...,70,159,252,283,10368,4256,4244,2517,868,1159,591,454,42,14,34.58,22.43,12135,4667,456,104,340,3627,811,2715,9,5772,450,12717,87,574,0.41,6.7,7,5027,4698,1160,4,170,4,60,538,1,28,331,0,0,5686,5377,309,778,1282,3197,3885,211,95,657,468,2208,3083,4101,1807,1,0,...,...,...,...,1218,12357,3894,19.6,97,19,2,0,0,9,6,22,8,16,1,1,1,142,3013
1587,36468.0,つるぎ町　　　,Tsurugi-cho,8927,749,4308,3869,22,...,34,214,157,243,9375,3838,3828,2050,1257,1204,720,877,23,12,194.84,28.11,7923,3211,539,131,403,3935,1605,2308,6,30083,1176,10011,108,452,0.19,2.3,8.3,8971,8801,782,5,88,5,39,284,4,33,201,1,519,3923,3733,190,338,1129,2245,2745,197,75,489,207,2322,1385,4004,1656,8,0,...,...,...,...,1538,9660,2571,14.3,117,28,1,0,3,8,5,27,6,28,2,2,2,92,2100
1588,36489.0,東みよし町　　,Higashimiyoshi-cho,14638,1730,8115,4769,73,...,86,239,355,388,12579,5325,5310,2977,1358,1304,719,730,46,17,122.48,26.11,14666,5899,733,147,577,4760,1139,3571,8,5239,506,14642,141,798,0.31,13.6,6,8627,7916,1302,6,125,7,65,675,2,40,366,0,0,7361,7025,336,592,1844,4507,5205,357,146,817,404,3899,3024,5426,1425,12,1,5310,4390,780,129.76,2576,14824,5000,9.1,145,58,1,0,2,10,7,20,12,21,3,5,3,388,2876
1589,37.0,香川県　　　,Kagawa-ken,976263,122324,547844,286296,6928,317869,7387,11894,28831,29793,978511,398551,397602,227451,125456,95762,53781,48194,4317,1684,1876.77,1005.59,1305881,439588,50281,9101,40719,481238,110843,365813,305,2462495,69679,3492286,10440,76729,...,...,...,428320,410068,134501,148,11348,166,3599,51458,77,2165,27215,40,26587,471475,452644,18831,23823,113711,301401,358372,24311,8617,35487,17027,313426,129541,455870,132767,156,29,387500,275100,106900,114.06,87981,998472,317915,18.7,8956,4603,143,11,80,830,478,2813,730,2415,84,271,193,19816,218212
1590,37201.0,高松市　　　　,Takamatsu-shi,420748,55082,240958,109369,2447,212897,3604,4324,13321,12745,435901,182047,181690,101559,65082,38326,21624,20829,2098,775,375.41,233.64,622699,193740,23223,3480,19645,230615,35834,194080,60,342330,15651,2397282,4862,40595,0.82,4,9,170152,163907,63517,47,5448,52,1482,23742,29,894,12359,14,12017,199623,191429,8194,5085,37586,141640,155199,11301,3467,12087,5166,164550,22236,204918,35725,0,5,177360,110290,63340,97.63,16083,429291,143322,19.2,3696,2296,77,6,31,415,236,1199,344,1172,26,97,71,8343,89843
1591,37202.0,丸亀市　　　　,Marugame-shi,110010,15054,63441,29572,1238,37621,926,1229,3672,3562,104968,43853,43731,26423,12838,10136,5709,4948,536,225,111.79,81.58,145646,50164,4657,790,3843,45054,11946,32886,28,275864,7736,226684,971,7176,0.69,3.6,4.3,40869,39945,13831,9,877,18,401,6326,10,273,3655,5,3013,52928,50783,2145,1918,15014,31999,41060,2454,905,3485,1583,27400,21974,46385,17576,1,3,41100,29130,11310,114.97,8242,113600,36625,11.8,895,505,16,1,9,87,56,242,98,243,7,35,26,2829,24260
1592,37203.0,坂出市　　　　,Sakaide-shi,53164,6264,28511,18133,362,23157,343,786,1531,1620,60114,21361,21294,12587,6336,5956,3379,3058,218,91,92.49,66.31,68291,23745,3154,598,2508,31197,9166,21647,15,326128,6966,165532,602,4067,0.85,5.4,12.2,23159,22367,9687,11,583,13,209,2784,7,133,1524,4,2111,24908,23828,1080,1200,6451,15458,18900,1411,442,1839,782,13816,9529,30315,16016,18,1,20560,15050,5460,116.2,9785,54283,19564,10.9,523,218,7,1,5,48,29,206,52,157,5,15,11,962,11925
1593,37204.0,善通寺市　　　,Zentsuji-shi,32927,4215,19074,9497,185,9250,251,403,1758,1804,33130,12977,12914,7134,4218,3131,1751,1599,173,54,39.93,30.78,40390,14581,1553,220,1319,15287,2342,12732,12,40827,1402,63334,315,2217,0.51,7.7,5.5,13903,13228,3609,9,641,8,151,1638,2,70,767,2,1430,16043,15239,804,924,3541,10482,12312,601,294,1244,584,7619,7399,14567,6727,11,1,12640,8490,4070,117.66,6848,32639,9422,16.2,305,173,5,1,3,30,13,155,21,73,4,8,6,547,7003
1594,37205.0,観音寺市　　　,Kanonji-shi,59409,7162,32838,18983,278,9330,436,833,1317,1527,59626,21984,21896,12480,5466,5800,3092,2634,246,98,117.84,74.05,75226,26946,3232,682,2515,30354,9027,20863,28,213332,7178,164011,745,4646,0.63,4.9,9.7,29756,28934,8637,7,775,10,195,2902,5,122,1350,2,1659,30369,29406,963,2952,9197,16038,21638,1499,666,2883,1919,20899,7670,30032,8296,18,3,22470,16970,5300,131.36,3935,61650,16301,24,677,264,7,0,5,47,27,187,44,160,5,14,10,1150,14331
1595,37206.0,さぬき市　　　,Sanuki-shi,50272,5405,27539,17044,279,6044,239,653,881,1194,47688,19752,19705,11340,5578,5544,3105,2448,151,73,158.63,76.44,56258,21396,2154,513,1605,19719,6555,12761,24,168862,5049,61283,415,2636,0.42,4.5,12.9,25314,24572,5566,9,439,8,166,2216,3,96,1200,4,1759,24257,23235,1022,1817,6274,14819,17925,1186,513,2245,1115,13130,9834,20579,7178,13,2,19190,15580,3420,132.39,3428,50420,15486,23.5,402,178,5,0,2,39,24,84,30,125,5,15,10,801,11517
1596,37207.0,東かがわ市　　,Higashikagawa-shi,31031,2983,15752,12244,182,...,149,488,501,711,30115,12441,12413,7573,3185,4167,2468,1973,80,33,152.83,49.21,33562,12699,1584,433,1121,13548,5380,7737,15,118217,3717,45849,288,1969,0.44,13.2,0.7,17357,16015,3383,5,151,6,97,1167,3,70,689,1,505,15213,14627,586,1277,5263,7820,10752,756,332,1817,775,10605,3755,14187,3315,4,1,12430,10420,1940,131.13,6236,31997,10346,24.5,291,136,2,0,3,20,15,51,16,86,4,16,9,592,8121
1597,37208.0,三豊市　　　　,Mitoyo-shi,65524,7754,35192,22441,442,...,406,1078,1248,1521,61184,22761,22711,12848,4848,6461,3466,2713,230,93,222.73,144.46,77891,28722,2985,723,2209,26254,9871,15711,47,239308,7179,92521,608,3365,0.48,5.5,4.2,32024,30587,7708,19,1023,20,291,3159,7,179,1904,3,1402,32948,31746,1202,3756,10089,17317,23896,1444,633,3385,2037,19261,12063,28036,8353,33,6,22700,20220,2380,149.64,7414,67596,15299,35.8,598,211,7,1,7,42,22,74,30,73,9,15,10,1080,15560
1598,37322.0,土庄町　　　　,Tonosho-cho,14002,1372,7292,5337,62,...,82,244,342,463,13872,6061,6050,3529,1858,1860,1085,1079,39,17,74.38,27.05,15086,6090,1009,227,761,6854,1651,5037,5,34162,716,21089,208,1220,0.36,9.2,6.5,8271,7795,1589,6,118,2,41,558,2,38,277,0,0,6971,6713,258,468,1746,4490,4981,448,180,704,393,5470,1223,6653,1163,8,1,6340,5460,880,115.81,5501,14537,6501,8.7,207,77,4,0,0,10,5,6,5,17,3,11,7,225,3992
1599,37324.0,小豆島町　　　,Shodoshima-cho,14862,1351,7375,6136,123,...,76,280,386,466,14838,6411,6386,3702,2014,2057,1264,1176,61,20,95.59,26.13,15383,6329,1098,298,789,6921,2478,4366,3,37461,1660,17092,205,914,0.32,10.6,4.3,9787,9109,1461,6,109,4,66,553,1,31,301,1,573,6942,6653,289,364,2190,4069,5009,492,154,639,334,5572,1044,6761,1152,19,1,6350,5470,880,129.01,1363,15188,8215,8,196,70,1,0,3,5,6,40,8,28,3,3,2,97,3997
1600,37341.0,三木町　　　　,Miki-cho,27684,3452,15697,7817,154,...,179,323,832,778,24845,10667,10647,6450,2722,2770,1515,1057,112,54,75.78,38.56,34558,12364,1062,252,796,10572,2487,7932,14,29089,1350,29113,190,1260,0.56,12,2.4,11829,11067,2706,7,375,4,105,1489,1,54,809,1,519,13615,13088,527,856,3145,8843,10513,635,225,1055,500,5213,7699,10443,5054,4,0,10470,8510,1810,131.55,4738,28575,7942,28.7,173,71,2,0,3,18,11,430,28,104,2,9,7,658,6380
1601,37364.0,直島町　　　　,Naoshima-cho,3139,313,1750,1073,16,...,23,43,139,192,3608,1519,1513,779,646,393,257,217,12,4,14.22,4.5,4911,1552,238,34,185,2350,804,1423,0,367913,548,4445,27,114,0.48,12.9,2.3,4420,4102,800,0,0,1,13,121,1,12,54,0,0,1694,1654,40,92,585,929,1387,85,32,74,39,1567,53,2199,598,1,0,...,...,...,...,69,3156,1843,27.1,29,28,0,0,0,2,1,2,1,2,2,1,1,31,725
1602,37386.0,宇多津町　　　,Utazu-cho,18952,3069,11986,3627,362,12181,199,124,1012,1136,18686,8465,8451,4573,3397,1204,683,758,114,40,8.1,7.21,27049,8308,842,117,725,11125,2625,8500,1,46639,2312,74036,197,1894,0.87,10.7,4.7,6907,6223,2958,3,398,2,66,1093,1,38,533,0,0,9214,8851,363,106,2771,5716,7468,416,136,449,146,2862,5741,8725,5615,0,0,7410,4480,2920,94.89,548,18534,7290,13.9,176,96,5,0,1,10,7,20,15,35,1,6,5,520,3306
1603,37387.0,綾川町　　　　,Ayagawa-cho,23610,2777,13014,7808,146,...,142,327,623,591,22180,8548,8531,5345,1737,2539,1415,1007,79,33,109.75,58.21,28665,10701,1020,219,779,10701,3046,7439,21,64296,2242,68971,253,1916,0.54,12.2,-0.7,10293,9265,3029,2,13,5,97,1154,2,57,613,1,340,11655,11255,400,1117,2686,7256,8763,473,180,1137,541,4926,6174,10419,5338,10,2,8180,7550,600,141.98,2353,24586,6164,19.1,247,76,2,1,2,18,7,53,11,59,1,7,6,746,5554
1604,37403.0,琴平町　　　　,Kotohira-cho,9186,926,4675,3564,33,...,47,133,238,331,9227,3708,3699,2037,1143,1082,592,698,22,12,8.47,6.44,10360,3917,758,92,662,4585,647,3905,3,5580,391,11214,218,806,0.39,9.6,7.7,4570,4293,991,2,67,3,43,373,1,24,189,1,599,4570,4419,151,269,990,3107,3182,287,130,508,275,2038,2327,4263,2171,3,1,...,...,...,...,1796,9432,3730,10.7,232,66,1,0,2,10,5,17,6,21,1,5,3,182,2206
1605,37404.0,多度津町　　　,Tadotsu-cho,23366,2908,13138,7132,506,7389,163,312,684,724,22531,9551,9536,5466,3018,2465,1384,1123,87,32,24.39,18.92,29438,10457,864,199,652,9821,4667,5034,5,110420,3772,35970,176,1154,0.65,5.3,8.7,9025,8603,3064,4,191,4,89,1197,1,39,552,1,660,11333,10881,452,488,3682,6354,8846,461,182,790,307,4486,6117,10378,5614,6,1,8380,7530,840,138.94,3572,23710,6539,18.8,157,81,1,0,3,15,7,29,13,33,3,9,5,590,5260
1606,37406.0,まんのう町　　,Manno-cho,18377,2237,9612,6519,113,...,122,314,346,428,15998,6445,6435,3626,1370,1871,992,877,59,30,194.45,62.11,20468,7877,848,224,605,6281,2317,3760,22,42067,1810,13860,160,780,0.37,8,7,10685,10057,1966,2,140,6,87,986,1,35,439,0,0,9192,8837,355,1134,2501,5064,6541,362,146,1146,531,4012,4703,7010,2876,7,1,6560,6110,430,175.79,6070,19278,3326,17.8,152,57,1,0,1,14,7,18,8,27,3,5,4,463,4232
1607,38.0,愛媛県　　　,Ehime-ken,1385262,169110,776111,417186,8096,733434,9569,18148,34453,37700,1385392,591972,590629,338047,198343,144736,81216,81356,5645,2316,5676.23,1673.26,1622974,562249,67910,11536,55749,627644,134007,487335,494,3814248,76840,3804387,14165,98907,...,...,...,660892,635297,181163,145,12970,288,4952,69535,134,2918,34951,66,34459,672543,642741,29802,47194,148409,416461,485847,31432,14425,56197,30713,521900,95900,643675,96834,436,44,578900,384000,185400,102.45,143424,1406767,461529,18,12727,6351,194,17,127,1252,685,3745,961,2832,92,410,311,24012,338847
1608,38201.0,松山市　　　　,Matsuyama-shi,514865,64925,303024,128658,2296,429624,4058,5293,14362,14356,520193,230509,230058,123806,89157,45805,25053,26681,2410,942,429.4,240.32,650773,214474,22108,2906,19140,236639,31345,204764,61,371436,13960,1648394,4327,38513,0.75,2.6,6.7,188929,184227,68307,43,6650,60,1509,27199,32,934,13403,16,14577,246248,234503,11745,6957,40668,169242,182744,11168,4556,15703,6620,196791,23601,236451,25549,41,5,225240,118410,100930,86.09,16177,516089,148677,20.4,3775,2295,87,5,38,481,257,1623,385,1260,20,102,69,6453,113917
1609,38202.0,今治市　　　　,Imabari-shi,158114,18816,86057,52636,1946,58795,1008,2302,3140,3680,159932,67105,66974,39513,20966,18577,10512,10155,622,256,419.14,195.47,184211,62954,8961,1858,7043,74129,20453,53115,48,857288,11646,513361,1914,11379,0.57,8.9,12.6,82524,77892,21932,11,1635,26,514,7669,16,316,3896,9,3886,76415,72296,4119,4132,22476,43800,53969,4599,1808,6648,3525,65673,4775,74085,6564,23,4,66050,48910,16550,115.05,5388,163786,57936,16.6,1690,918,21,2,29,115,89,318,113,285,12,45,33,2524,42722
1610,38203.0,宇和島市　　　,Uwajima-shi,77465,8483,40680,28072,328,31927,424,1414,1609,2065,78314,32732,32651,17656,10691,8689,4714,5705,260,114,468.19,135.97,76802,28904,4769,650,4024,32913,4393,27652,51,34492,1658,253605,1096,6307,0.33,2.9,5.6,44586,43268,7793,12,376,30,334,3391,6,147,1494,5,1729,38418,36672,1746,6593,5142,23387,24083,1819,1317,4665,3770,33161,2521,37490,3339,33,2,31930,22270,9350,106.84,14200,79099,27931,19.2,956,496,7,1,6,78,42,209,54,153,6,27,24,1821,24771
1611,38204.0,八幡浜市　　　,Yawatahama-shi,34951,3558,18209,13058,105,11892,193,596,768,1065,35701,14995,14957,8618,4801,4348,2466,2702,108,53,132.68,62.27,38210,13849,2286,296,1960,15845,3035,12573,31,39342,1684,64497,525,2547,0.35,0.8,11.8,20691,20377,3538,6,194,12,158,1421,5,94,805,3,1174,17639,17057,582,3570,3139,10136,11146,844,722,2041,2112,14008,2842,17667,3452,20,2,15500,11190,4250,109.95,2704,34907,13653,21,438,190,2,0,4,42,19,92,23,87,2,14,12,643,10554
1612,38205.0,新居浜市　　　,Niihama-shi,119903,15812,66679,36715,750,86704,925,1574,2770,2985,122323,50653,50536,30693,15870,12983,7470,7384,543,216,234.5,63.56,152243,51301,5551,1001,4531,56196,14665,41363,9,702416,9536,277423,1117,8420,0.76,4.2,4.9,48274,46725,18629,9,1194,17,390,6380,12,248,3189,5,3054,57081,54878,2203,720,16960,34206,44358,2668,1011,3285,1232,45781,6781,56934,8837,16,2,48960,34470,13610,107.13,12641,121744,47227,16.3,1009,610,18,2,10,96,53,267,89,235,6,33,25,2553,25924
