,time_pm,jyorei_nendo,市町村名
520,香川県多度津町,2017.0,1
521,高知県香美市,2016.0,1
522,高知県高知市,2017.0,1
523,鳥取県倉吉市,2017.0,1
524,鳥取県八頭町,2017.0,1
525,鳥取県日南町,2016.0,3
526,鳥取県若桜町,2016.0,1
527,鳥取県鳥取市,2016.0,1
528,鹿児島県大崎町,2016.0,1
529,鹿児島県肝付町,2017.0,1
0,三重県伊賀市,2010.0,1
1,三重県鈴鹿市,2010.0,1
2,京都府京都市,2010.0,1
3,京都府向日市,2010.0,1
4,京都府精華町,2010.0,1
5,兵庫県播磨町,2010.0,1
6,兵庫県西宮市,2011.0,1
7,兵庫県西脇市,2011.0,1
8,兵庫県高砂市,2011.0,1
9,北海道中札内村,2011.0,1
10,北海道北広島市,2010.0,1
11,北海道北見市,2009.0,1
12,北海道小樽市,2011.0,1
13,北海道札幌市,2009.0,1
14,北海道森町,2010.0,2
15,北海道池田町,2010.0,1
16,北海道洞爺湖町,2010.0,1
17,北海道浦河町,2010.0,1
18,千葉県八千代市,2011.0,1
19,千葉県匝瑳市,2010.0,1
20,千葉県市原市,2009.0,1
21,千葉県柏市,2010.0,1
22,千葉県柏市,2011.0,2
23,千葉県流山市,2011.0,1
24,埼玉県さいたま市,2010.0,1
25,埼玉県さいたま市,2011.0,4
26,埼玉県上尾市,2010.0,1
27,埼玉県嵐山町,2011.0,1
28,埼玉県川ロ市,2009.0,1
29,埼玉県川ロ市,2011.0,1
30,埼玉県戸田市,2010.0,1
31,埼玉県熊谷市,2010.0,1
32,埼玉県蓮田市,2009.0,1
33,埼玉県越谷市,2009.0,1
34,埼玉県鶴ヶ島市,2010.0,1
35,大分県大分市,2010.0,1
36,大分県臼杵市,2009.0,1
37,大阪府千早赤阪村,2009.0,3
38,大阪府吹田市,2011.0,2
39,大阪府堺市,2011.0,1
40,大阪府大東市,2010.0,1
41,大阪府大阪市,2010.0,1
42,大阪府大阪市,2011.0,1
43,大阪府大阪狭山市,2009.0,1
44,大阪府守口市,2010.0,1
45,大阪府守口市,2011.0,1
46,大阪府羽曳野市,2011.0,1
47,大阪府藤井寺市,2011.0,1
48,大阪府貝塚市,2011.0,1
49,奈良県大和郡山市,2010.0,1
50,奈良県宇陀市,2009.0,1
51,奈良県宇陀市,2011.0,1
52,奈良県広陵町,2011.0,1
53,奈良県橿原市,2010.0,1
54,宮城県柴田町,2011.0,1
55,宮城県自石市,2010.0,1
56,宮崎県延岡市,2010.0,1
57,宮崎県日南市,2010.0,1
