ele_ymd,prefecture,ele_ymd,ratio_inc_cand,ratio_new_cand,ratio_form_cand,ratio_inc_wins,ratio_new_wins,ratio_form_wins,ratio_inc_votes,ratio_new_votes,ratio_form_votes,ratio_inc_votes_percand,ratio_new_votes_percand,ratio_form_votes_percand,all_votes
甲賀市議会議員選挙（2013年10月20日投票）,滋賀県,甲賀市議会議員選挙（2013年10月20日投票）,0.5625,0.4375,0.0,0.5925925925925926,0.4074074074074074,0.0,0.5869360780411872,0.4130639219588127,,2.25463942791681e-05,0.029504565854200908,,44352.99
甲賀市議会議員選挙（2009年10月18日投票）,滋賀県,甲賀市議会議員選挙（2009年10月18日投票）,0.6764705882352942,0.2647058823529412,0.058823529411764705,0.7777777777777778,0.14814814814814814,0.07407407407407407,0.7151530375481711,0.22980590359744163,0.055041058854387336,2.017634122228275e-05,0.025533989288604626,0.027520529427193668,49563.0
野洲市議会議員選挙（2017年10月22日投票）,滋賀県,野洲市議会議員選挙（2017年10月22日投票）,0.5454545454545454,0.45454545454545453,0.0,0.5555555555555556,0.4444444444444444,0.0,0.565952774791167,0.43404722520883304,,4.1353072533289225e-05,0.0434047225208833,,24182.0
野洲市議会議員補欠選挙（2016年10月23日投票）,滋賀県,野洲市議会議員補欠選挙（2016年10月23日投票）,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,,0.5568545216251638,0.4431454783748362,,0.2784272608125819,0.4431454783748362,19075.0
野洲市議会議員選挙（2013年10月20日投票）,滋賀県,野洲市議会議員選挙（2013年10月20日投票）,0.5714285714285714,0.42857142857142855,0.0,0.6,0.4,0.0,0.6500918003110646,0.3499081996889355,,5.256244549931433e-05,0.03887868885432617,,19024.99
野洲市議会議員選挙（2009年10月18日投票）,滋賀県,野洲市議会議員選挙（2009年10月18日投票）,0.6956521739130435,0.30434782608695654,0.0,0.75,0.25,0.0,0.6868712379509198,0.31312876204908024,,4.209285684219388e-05,0.04473268029272575,,23757.0
野洲市議会議員補欠選挙（2008年10月12日投票）,滋賀県,野洲市議会議員補欠選挙（2008年10月12日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,0.3333333333333333,,20617.0
野洲市議会議員選挙（2005年10月23日投票）,滋賀県,野洲市議会議員選挙（2005年10月23日投票）,0.7407407407407407,0.25925925925925924,0.0,0.7916666666666666,0.20833333333333334,0.0,0.7564123245684787,0.2435876754315212,,4.032908533634457e-05,0.03479823934736017,,24796.0
湖南市議会議員補欠選挙（2020年10月18日投票）,滋賀県,湖南市議会議員補欠選挙（2020年10月18日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0
湖南市議会議員選挙（2017年10月22日投票）,滋賀県,湖南市議会議員選挙（2017年10月22日投票）,0.6818181818181818,0.3181818181818182,0.0,0.7222222222222222,0.2777777777777778,0.0,0.7502661970677369,0.24973380293226308,,4.095339503644852e-05,0.03567625756175187,,24418.0
湖南市議会議員補欠選挙（2016年10月16日投票）,滋賀県,湖南市議会議員補欠選挙（2016年10月16日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0
湖南市議会議員選挙（2013年10月27日投票）,滋賀県,湖南市議会議員選挙（2013年10月27日投票）,0.7,0.2,0.1,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.7416788847796962,0.20800010271610012,0.05032101250420371,4.9382740435921203e-05,0.05200002567902503,0.025160506252101856,20249.989999999998
湖南市議会議員選挙（2009年10月25日投票）,滋賀県,湖南市議会議員選挙（2009年10月25日投票）,0.7727272727272727,0.22727272727272727,0.0,0.8,0.2,0.0,0.7844505494505494,0.21554945054945057,,4.292582417582418e-05,0.043109890109890116,,23296.0
湖南市議会議員補欠選挙（2008年10月12日投票）,滋賀県,湖南市議会議員補欠選挙（2008年10月12日投票）,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,0.0
湖南市議会議員選挙（2005年10月23日投票）,滋賀県,湖南市議会議員選挙（2005年10月23日投票）,0.9230769230769231,0.07692307692307693,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9262350362502108,0.07376496374978925,,4.2151407857022424e-05,0.036882481874894624,,23724.0
高島市議会議員選挙（2021年01月31日投票）,滋賀県,高島市議会議員選挙（2021年01月31日投票）,0.6,0.3,0.1,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.6612520639930931,0.2591694325310339,0.07957850347587299,3.675119576446879e-05,0.043194905421838986,0.039789251737936494,27209.999
