"","","","","/項目 コード","F1101","F110101","F110102","F1102","F110201","F110202","F1107","F1108","F2116","F2201","F2211","F2221","F2401","F2402","F2409","F2410","F2411","F2705","F2803"
"調査年 コード","調査年","地域 コード","地域","/項目","F1101_労働力人口【人】","F110101_労働力人口（男）【人】","F110102_労働力人口（女）【人】","F1102_就業者数【人】","F110201_就業者数（男）【人】","F110202_就業者数（女）【人】","F1107_完全失業者数【人】","F1108_非労働力人口【人】","F2116_就業者数（65歳以上）【人】","F2201_第1次産業就業者数【人】","F2211_第2次産業就業者数【人】","F2221_第3次産業就業者数【人】","F2401_雇用者数（国勢調査結果）【人】","F2402_役員数【人】","F2409_雇用者数（正規の職員・従業員）【人】","F2410_雇用者数（労働者派遣事業所の派遣社員）【人】","F2411_雇用者数（パート・アルバイト・その他）【人】","F2705_他市区町村への通勤者数【人】","F2803_他市区町村からの通勤者数【人】"
"2015100000","2015年度","01461","北海道 中富良野町","","2606","1404","1202","2520","1358","1162","86","1700","433","972","235","1285","1466","59","885","15","566","715","643"
"2015100000","2015年度","01462","北海道 南富良野町","","1290","751","539","1271","735","536","19","954","190","257","189","821","892","55","577","10","305","62","234"
"2015100000","2015年度","01463","北海道 占冠村","","752","422","330","743","416","327","9","327","74","66","69","607","631","30","420","7","204","45","205"
"2015100000","2015年度","01464","北海道 和寒町","","1826","989","837","1789","969","820","37","1399","440","618","240","892","1039","102","613","23","403","229","210"
"2015100000","2015年度","01465","北海道 剣淵町","","1834","999","835","1808","982","826","26","1087","439","750","199","859","911","55","544","30","337","303","229"
"2015100000","2015年度","01468","北海道 下川町","","1788","1044","744","1749","1017","732","39","1392","336","399","414","931","1260","90","836","12","412","182","302"
"2015100000","2015年度","01469","北海道 美深町","","2355","1342","1013","2295","1296","999","60","1865","448","546","283","1465","1631","113","1077","21","533","194","268"
"2015100000","2015年度","01470","北海道 音威子府村","","435","286","149","424","279","145","11","351","54","55","81","285","338","15","241","5","92","14","117"
"2015100000","2015年度","01471","北海道 中川町","","1008","646","362","989","631","358","19","575","168","182","286","519","750","59","519","7","224","59","87"
"2015100000","2015年度","01472","北海道 幌加内町","","799","459","340","794","455","339","5","564","205","264","81","442","468","25","301","12","155","25","104"
"2015100000","2015年度","01481","北海道 増毛町","","2255","1215","1040","2171","1155","1016","84","1811","476","505","526","1137","1564","115","899","19","646","436","298"
"2015100000","2015年度","01482","北海道 小平町","","1706","930","776","1670","905","765","36","1328","295","523","248","893","1103","79","707","9","387","289","227"
"2015100000","2015年度","01483","北海道 苫前町","","1666","926","740","1643","909","734","23","1263","347","647","245","751","1045","97","635","8","402","149","196"
"2015100000","2015年度","01484","北海道 羽幌町","","3647","2114","1533","3579","2070","1509","68","2866","701","661","470","2185","2432","212","1518","25","889","231","219"
"2015100000","2015年度","01485","北海道 初山別村","","639","364","275","634","361","273","5","464","132","206","78","346","386","28","258","4","124","51","60"
"2015100000","2015年度","01486","北海道 遠別町","","1487","849","638","1456","826","630","31","1017","317","436","233","766","1002","77","613","16","373","79","82"
"2015100000","2015年度","01487","北海道 天塩町","","1810","1089","721","1784","1070","714","26","1069","282","436","294","1050","1207","89","814","22","371","124","138"
"2015100000","2015年度","01511","北海道 猿払村","","1587","890","697","1568","874","694","19","681","184","545","391","631","1035","85","651","4","380","36","166"
