"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D2213","D2214","D2215","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D2213_標準財政規模（市町村財政）【千円】","D2214_実質赤字比率（市町村財政）【％】","D2215_連結実質赤字比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"1989100000","1989年度","34462","広島県 世羅町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","34545","広島県 神石高原町","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35201","山口県 下関市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35202","山口県 宇部市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35203","山口県 山口市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35204","山口県 萩市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35206","山口県 防府市","","***","0.85","0.2","***","13.3","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35207","山口県 下松市","","***","0.91","0.7","***","10.0","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35208","山口県 岩国市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35210","山口県 光市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35211","山口県 長門市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
"1989100000","1989年度","35212","山口県 柳井市","","***","-","-","***","-","***","***","***","***","***","***","***","***","***","***","***","***"
