"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"1988100000","1988年度","33103","岡山県 岡山市 東区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33104","岡山県 岡山市 南区","","-","-","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33202","岡山県 倉敷市","","119274681","69217633","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33203","岡山県 津山市","","33791490","10451987","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33204","岡山県 玉野市","","15336015","6676151","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33205","岡山県 笠岡市","","16861423","6413256","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33207","岡山県 井原市","","15708301","4034522","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33208","岡山県 総社市","","15897106","5634900","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33209","岡山県 高梁市","","21645197","3512685","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33210","岡山県 新見市","","17523016","2965986","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1988100000","1988年度","33211","岡山県 備前市","","13864052","5053521","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
