"","","","","/項目 コード","B1101","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1103_可住地面積【ｈａ】"
"2019100000","2019年度","05303","秋田県 小坂町","","20170","1877"
"2019100000","2019年度","05327","秋田県 上小阿仁村","","25672","1858"
"2019100000","2019年度","05346","秋田県 藤里町","","28213","3734"
"2019100000","2019年度","05348","秋田県 三種町","","24798","11211"
"2019100000","2019年度","05349","秋田県 八峰町","","23414","4295"
"2019100000","2019年度","05361","秋田県 五城目町","","21492","3888"
"2019100000","2019年度","05363","秋田県 八郎潟町","","1700","1393"
"2019100000","2019年度","05366","秋田県 井川町","","4795","2227"
"2019100000","2019年度","05368","秋田県 大潟村","","17011","15966"
"2019100000","2019年度","05434","秋田県 美郷町","","16832","9649"
"2019100000","2019年度","05463","秋田県 羽後町","","23078","6852"
"2019100000","2019年度","05464","秋田県 東成瀬村","","20369","3012"
"2019100000","2019年度","06201","山形県 山形市","","38130","17403"
"2019100000","2019年度","06202","山形県 米沢市","","54851","13329"
"2019100000","2019年度","06203","山形県 鶴岡市","","131153","40118"
"2019100000","2019年度","06204","山形県 酒田市","","60297","24423"
"2019100000","2019年度","06205","山形県 新庄市","","22285","9634"
"2019100000","2019年度","06206","山形県 寒河江市","","13903","6969"
"2019100000","2019年度","06207","山形県 上山市","","24093","7858"
"2019100000","2019年度","06208","山形県 村山市","","19698","8874"
"2019100000","2019年度","06209","山形県 長井市","","21467","7908"
"2019100000","2019年度","06210","山形県 天童市","","11301","7534"
"2019100000","2019年度","06211","山形県 東根市","","20694","7512"
"2019100000","2019年度","06212","山形県 尾花沢市","","37253","11344"
"2019100000","2019年度","06213","山形県 南陽市","","16052","6513"
"2019100000","2019年度","06301","山形県 山辺町","","6145","2805"
"2019100000","2019年度","06302","山形県 中山町","","3115","2113"
"2019100000","2019年度","06321","山形県 河北町","","5245","3823"
"2019100000","2019年度","06322","山形県 西川町","","39319","7327"
"2019100000","2019年度","06323","山形県 朝日町","","19681","5563"
"2019100000","2019年度","06324","山形県 大江町","","15408","3293"
"2019100000","2019年度","06341","山形県 大石田町","","7954","3783"
"2019100000","2019年度","06361","山形県 金山町","","16167","3539"
"2019100000","2019年度","06362","山形県 最上町","","33037","6406"
"2019100000","2019年度","06363","山形県 舟形町","","11904","3436"
"2019100000","2019年度","06364","山形県 真室川町","","37422","5105"
"2019100000","2019年度","06365","山形県 大蔵村","","21163","3685"
"2019100000","2019年度","06366","山形県 鮭川村","","12214","4167"
"2019100000","2019年度","06367","山形県 戸沢村","","26131","4524"
"2019100000","2019年度","06381","山形県 高畠町","","18026","7704"
"2019100000","2019年度","06382","山形県 川西町","","16660","8626"
"2019100000","2019年度","06401","山形県 小国町","","73756","7914"
"2019100000","2019年度","06402","山形県 白鷹町","","15771","5718"
"2019100000","2019年度","06403","山形県 飯豊町","","32941","5450"
"2019100000","2019年度","06426","山形県 三川町","","3322","3322"
"2019100000","2019年度","06428","山形県 庄内町","","24917","11022"
"2019100000","2019年度","06461","山形県 遊佐町","","20839","9735"
"2019100000","2019年度","07201","福島県 福島市","","76772","27517"
"2019100000","2019年度","07202","福島県 会津若松市","","38297","14602"
"2019100000","2019年度","07203","福島県 郡山市","","75720","33734"
"2019100000","2019年度","07204","福島県 いわき市","","123202","35141"
"2019100000","2019年度","07205","福島県 白河市","","30532","13258"
"2019100000","2019年度","07207","福島県 須賀川市","","27943","16025"
"2019100000","2019年度","07208","福島県 喜多方市","","55463","17756"
"2019100000","2019年度","07209","福島県 相馬市","","19779","9110"
"2019100000","2019年度","07210","福島県 二本松市","","34442","19077"
"2019100000","2019年度","07211","福島県 田村市","","45833","15507"
"2019100000","2019年度","07212","福島県 南相馬市","","39858","18088"
"2019100000","2019年度","07213","福島県 伊達市","","26512","13287"
"2019100000","2019年度","07214","福島県 本宮市","","8802","6095"
"2019100000","2019年度","07301","福島県 桑折町","","4297","2473"
"2019100000","2019年度","07303","福島県 国見町","","3795","2348"
"2019100000","2019年度","07308","福島県 川俣町","","12770","3752"
"2019100000","2019年度","07322","福島県 大玉村","","7944","3075"
"2019100000","2019年度","07342","福島県 鏡石町","","3130","2786"
"2019100000","2019年度","07344","福島県 天栄村","","22552","3761"
"2019100000","2019年度","07362","福島県 下郷町","","31704","4362"
"2019100000","2019年度","07364","福島県 檜枝岐村","","39046","5247"
"2019100000","2019年度","07367","福島県 只見町","","74756","17158"
"2019100000","2019年度","07368","福島県 南会津町","","88647","7981"
"2019100000","2019年度","07402","福島県 北塩原村","","23408","2595"
"2019100000","2019年度","07405","福島県 西会津町","","29818","4808"
"2019100000","2019年度","07407","福島県 磐梯町","","5977","2125"
"2019100000","2019年度","07408","福島県 猪苗代町","","39485","7335"
"2019100000","2019年度","07421","福島県 会津坂下町","","9159","6140"
"2019100000","2019年度","07422","福島県 湯川村","","1637","1637"
"2019100000","2019年度","07423","福島県 柳津町","","17582","2202"
"2019100000","2019年度","07444","福島県 三島町","","9081","1159"
"2019100000","2019年度","07445","福島県 金山町","","29392","7582"
"2019100000","2019年度","07446","福島県 昭和村","","20946","1928"
"2019100000","2019年度","07447","福島県 会津美里町","","27633","7416"
"2019100000","2019年度","07461","福島県 西郷村","","19206","5651"
"2019100000","2019年度","07464","福島県 泉崎村","","3543","2466"
