"","","","","/項目 コード","D3201","D320101","D320102","D320103","D320108","D320111","D320113","D320115","D320116","D320117","D320118","D320119","D320120","D320121","D320122","D3202","D3203102"
"調査年 コード","調査年","地域 コード","地域","/項目","D3201_歳入決算総額（市町村財政）【千円】","D320101_地方税（市町村財政）【千円】","D320102_地方譲与税（市町村財政）【千円】","D320103_利子割交付金（市町村財政）【千円】","D320108_地方交付税（市町村財政）【千円】","D320111_使用料（市町村財政）【千円】","D320113_国庫支出金（市町村財政）【千円】","D320115_県支出金（市町村財政）【千円】","D320116_財産収入（市町村財政）【千円】","D320117_寄附金（市町村財政）【千円】","D320118_繰入金（市町村財政）【千円】","D320119_繰越金（市町村財政）【千円】","D320120_諸収入（市町村財政）【千円】","D320121_地方債（市町村財政）【千円】","D320122_地方特例交付金（市町村財政）【千円】","D3202_自主財源額（市町村財政）【千円】","D3203102_小学校費（市町村財政）【千円】"
"2002100000","2002年度","23481","（旧）愛知県 一色町","","7588973","2888310","108642","41800","1642131","237973","447907","408012","***","***","50277","334945","284954","695532","111970","3826637","130237"
"2002100000","2002年度","23482","（旧）愛知県 吉良町","","6811964","3187425","161229","37077","989724","180778","201577","440233","***","***","289766","315591","280303","224539","104348","4282788","164780"
"2002100000","2002年度","23483","（旧）愛知県 幡豆町","","5235914","1531868","73845","21101","982284","104222","118250","218013","***","***","537499","229606","241462","749604","60660","2829089","102061"
"2002100000","2002年度","32304","（旧）島根県 東出雲町","","5424842","1247945","68736","16454","1914129","161800","232741","544647","***","***","0","234058","51588","636000","41642","1848098","200341"
"2002100000","2002年度","32401","（旧）島根県 斐川町","","15631953","3122843","483005","35693","2407013","277806","617252","1205092","***","***","1687219","183840","1731275","3099775","200009","7274800","146985"
"2001100000","2001年度","03422","（旧）岩手県 藤沢町","","6376769","605010","145972","22895","3318825","82489","333715","488051","***","***","60034","39304","172717","817900","20226","1091744","412628"
"2001100000","2001年度","09321","（旧）栃木県 西方町","","3028720","1039595","45786","27523","997364","25734","59828","107203","***","***","89098","189994","40224","204400","25015","1420856","55862"
"2001100000","2001年度","09367","（旧）栃木県 岩舟町","","6308466","2011830","87498","76844","1646925","52821","237110","323961","***","***","49999","309584","102156","1027400","63290","2580842","114536"
"2001100000","2001年度","11226","（旧）埼玉県 鳩ヶ谷市","","18632381","7060604","117097","208871","2978314","189545","2022458","1476206","***","***","449818","643709","596457","1668500","245088","9387305","218645"
"2001100000","2001年度","23481","（旧）愛知県 一色町","","7331301","2809829","109475","149133","1740671","246336","216972","414385","***","***","53554","382383","352394","361100","115937","3886526","167769"
"2001100000","2001年度","23482","（旧）愛知県 吉良町","","6936011","3176339","157700","130165","1112777","180575","178686","445043","***","***","73143","363913","264062","313600","106118","4092944","124681"
"2001100000","2001年度","23483","（旧）愛知県 幡豆町","","4749011","1498236","73867","72719","1114441","106207","111845","199439","***","***","377131","189623","233528","234200","59861","2679402","86307"
"2001100000","2001年度","32304","（旧）島根県 東出雲町","","4778227","1285253","68613","57344","1919301","141386","169774","369726","***","***","46389","108196","36172","265050","38079","1752636","85328"
"2001100000","2001年度","32401","（旧）島根県 斐川町","","14705577","4098100","458073","127153","3015958","265677","776465","1017649","***","***","132888","118135","1510263","2144825","136156","6688521","153521"
"2000100000","2000年度","03422","（旧）岩手県 藤沢町","","6735905","601648","146006","22792","3424678","80347","195992","693545","***","***","373676","31836","198868","661400","18232","1437616","111061"
"2000100000","2000年度","09321","（旧）栃木県 西方町","","2960745","964697","45454","26995","1170301","26810","59635","124953","***","***","121587","92208","28480","118000","21246","1254235","54268"
"2000100000","2000年度","09367","（旧）栃木県 岩舟町","","6058916","1967194","86802","76794","1807747","52936","166422","272086","***","***","175500","245748","72534","762800","66524","2550561","109584"
"2000100000","2000年度","11226","（旧）埼玉県 鳩ヶ谷市","","20108264","6908051","121278","205647","3379991","138793","2060487","1557314","***","***","748108","662704","364052","2071500","248659","9906450","375374"
"2000100000","2000年度","23481","（旧）愛知県 一色町","","7269901","2833334","109696","141493","1794682","246224","194826","356922","***","***","82866","306036","332425","353300","125789","3834092","286379"
"2000100000","2000年度","23482","（旧）愛知県 吉良町","","7373586","3123815","156719","122941","1279529","192046","203713","597905","***","***","57987","318523","487168","250100","107877","4230401","142990"
"2000100000","2000年度","23483","（旧）愛知県 幡豆町","","4830587","1521803","74140","67731","1227907","106511","95241","217058","***","***","269786","203154","177505","111700","56563","2763394","61731"
"2000100000","2000年度","32304","（旧）島根県 東出雲町","","4775519","1219991","61170","56558","1952924","131923","283200","196778","***","***","14265","108564","31108","453600","36267","1598389","70728"
"2000100000","2000年度","32401","（旧）島根県 斐川町","","12748825","3441221","451757","126374","3439308","255226","681439","969518","***","***","239543","216682","602744","1586200","108395","5039048","583593"
"1999100000","1999年度","03422","（旧）岩手県 藤沢町","","7540839","625986","***","***","***","***","***","***","***","***","203571","***","108000","***","***","***","***"
"1999100000","1999年度","09321","（旧）栃木県 西方町","","3529147","919017","***","***","***","***","***","***","***","***","89405","***","25784","***","***","***","***"
"1999100000","1999年度","09367","（旧）栃木県 岩舟町","","5729503","2024033","***","***","***","***","***","***","***","***","65746","***","90760","***","***","***","***"
"1999100000","1999年度","11226","（旧）埼玉県 鳩ヶ谷市","","22159124","7124923","***","***","***","***","***","***","***","***","1364894","***","399479","***","***","***","***"
"1999100000","1999年度","23481","（旧）愛知県 一色町","","7478866","3009058","***","***","***","***","***","***","***","***","48158","***","291644","***","***","***","***"
"1999100000","1999年度","23482","（旧）愛知県 吉良町","","7539922","3206745","***","***","***","***","***","***","***","***","76560","***","273021","***","***","***","***"
"1999100000","1999年度","23483","（旧）愛知県 幡豆町","","4867396","1483381","***","***","***","***","***","***","***","***","248811","***","226134","***","***","***","***"
"1999100000","1999年度","32304","（旧）島根県 東出雲町","","6259350","1198261","***","***","***","***","***","***","***","***","71907","***","39512","***","***","***","***"
"1999100000","1999年度","32401","（旧）島根県 斐川町","","14535501","3275496","***","***","***","***","***","***","***","***","340","***","844014","***","***","***","***"
"1998100000","1998年度","03422","（旧）岩手県 藤沢町","","7444437","611144","***","***","***","***","***","***","***","***","455957","***","116637","***","***","***","***"
"1998100000","1998年度","09321","（旧）栃木県 西方町","","3343738","871873","***","***","***","***","***","***","***","***","130783","***","38475","***","***","***","***"
"1998100000","1998年度","09367","（旧）栃木県 岩舟町","","5448471","2015807","***","***","***","***","***","***","***","***","56171","***","156077","***","***","***","***"
"1998100000","1998年度","11226","（旧）埼玉県 鳩ヶ谷市","","18608861","7310049","***","***","***","***","***","***","***","***","596292","***","481170","***","***","***","***"
"1998100000","1998年度","23481","（旧）愛知県 一色町","","7608470","2984088","***","***","***","***","***","***","***","***","49975","***","292287","***","***","***","***"
"1998100000","1998年度","23482","（旧）愛知県 吉良町","","7708002","3154691","***","***","***","***","***","***","***","***","197483","***","257226","***","***","***","***"
"1998100000","1998年度","23483","（旧）愛知県 幡豆町","","4255404","1457644","***","***","***","***","***","***","***","***","171915","***","161898","***","***","***","***"
"1998100000","1998年度","32304","（旧）島根県 東出雲町","","7131523","1201465","***","***","***","***","***","***","***","***","191140","***","49315","***","***","***","***"
"1998100000","1998年度","32401","（旧）島根県 斐川町","","12451943","3163743","***","***","***","***","***","***","***","***","240488","***","1028271","***","***","***","***"
"1997100000","1997年度","03422","（旧）岩手県 藤沢町","","7720281","643114","***","***","***","***","***","***","***","***","514628","***","160204","***","***","***","***"
"1997100000","1997年度","09321","（旧）栃木県 西方町","","2936611","860013","***","***","***","***","***","***","***","***","129080","***","34402","***","***","***","***"
"1997100000","1997年度","09367","（旧）栃木県 岩舟町","","5078612","2089857","***","***","***","***","***","***","***","***","52367","***","132683","***","***","***","***"
"1997100000","1997年度","11226","（旧）埼玉県 鳩ヶ谷市","","16421848","7508296","***","***","***","***","***","***","***","***","399163","***","479005","***","***","***","***"
"1997100000","1997年度","23481","（旧）愛知県 一色町","","7706593","3015396","***","***","***","***","***","***","***","***","117205","***","286975","***","***","***","***"
"1997100000","1997年度","23482","（旧）愛知県 吉良町","","7017706","3275117","***","***","***","***","***","***","***","***","55612","***","210042","***","***","***","***"
"1997100000","1997年度","23483","（旧）愛知県 幡豆町","","4012505","1514373","***","***","***","***","***","***","***","***","151340","***","140949","***","***","***","***"
"1997100000","1997年度","32304","（旧）島根県 東出雲町","","6802977","1307924","***","***","***","***","***","***","***","***","174204","***","48617","***","***","***","***"
"1997100000","1997年度","32401","（旧）島根県 斐川町","","12068020","3310965","***","***","***","***","***","***","***","***","143","***","771198","***","***","***","***"
"1996100000","1996年度","03422","（旧）岩手県 藤沢町","","7550565","591225","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","09321","（旧）栃木県 西方町","","2916223","762547","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
