"","","","","/項目 コード","D1202","D2201","D2202","D2203","D2204","D2205","D2206","D2209","D2210","D2211","D2212","D3205","D420102","D420202"
"調査年 コード","調査年","地域 コード","地域","/項目","D1202_一般行政部門職員数（市区町村）【人】","D2201_財政力指数（市町村財政）【‐】","D2202_実質収支比率（市町村財政）【％】","D2203_経常収支比率（市町村財政）【％】","D2204_公債費比率（市町村財政）【％】","D2205_基準財政収入額（市町村財政）【千円】","D2206_基準財政需要額（市町村財政）【千円】","D2209_一般財源（市町村財政）【千円】","D2210_投資的経費（市町村財政）【千円】","D2211_実質公債費比率（市町村財政）【％】","D2212_将来負担比率（市町村財政）【％】","D3205_地方債現在高（市町村財政）【千円】","D420102_市町村民税【千円】","D420202_固定資産税（市町村税）【千円】"
"1996100000","1996年度","23483","（旧）愛知県 幡豆町","","***","0.56","5.0","***","6.5","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","32304","（旧）島根県 東出雲町","","***","0.44","0.2","***","14.5","***","***","***","***","***","***","***","***","***"
"1996100000","1996年度","32401","（旧）島根県 斐川町","","***","0.49","1.4","***","12.7","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","03422","（旧）岩手県 藤沢町","","***","0.18","2.5","***","12.7","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","09321","（旧）栃木県 西方町","","***","0.46","8.2","***","7.8","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","09367","（旧）栃木県 岩舟町","","***","0.57","3.2","***","14.1","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.77","5.1","***","6.8","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","23481","（旧）愛知県 一色町","","***","0.65","4.6","***","9.3","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","23482","（旧）愛知県 吉良町","","***","0.77","8.1","***","9.9","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","23483","（旧）愛知県 幡豆町","","***","0.56","6.9","***","7.3","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","32304","（旧）島根県 東出雲町","","***","0.42","2.9","***","13.0","***","***","***","***","***","***","***","***","***"
"1995100000","1995年度","32401","（旧）島根県 斐川町","","***","0.48","1.2","***","10.7","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","03422","（旧）岩手県 藤沢町","","***","0.19","2.5","***","12.4","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","09321","（旧）栃木県 西方町","","***","0.47","6.6","***","7.8","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","09367","（旧）栃木県 岩舟町","","***","0.57","2.9","***","11.2","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.77","4.6","***","6.1","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","23481","（旧）愛知県 一色町","","***","0.62","5.0","***","9.4","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","23482","（旧）愛知県 吉良町","","***","0.75","6.0","***","10.1","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","23483","（旧）愛知県 幡豆町","","***","0.56","5.8","***","7.5","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","32304","（旧）島根県 東出雲町","","***","0.41","2.6","***","13.1","***","***","***","***","***","***","***","***","***"
"1994100000","1994年度","32401","（旧）島根県 斐川町","","***","0.47","1.7","***","10.1","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","03422","（旧）岩手県 藤沢町","","***","0.19","2.5","***","11.3","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","09321","（旧）栃木県 西方町","","***","0.49","4.6","***","6.9","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","09367","（旧）栃木県 岩舟町","","***","0.55","3.8","***","10.3","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","11226","（旧）埼玉県 鳩ヶ谷市","","***","0.75","3.1","***","6.5","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","23481","（旧）愛知県 一色町","","***","0.60","4.6","***","10.3","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","23482","（旧）愛知県 吉良町","","***","0.72","7.7","***","10.0","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","23483","（旧）愛知県 幡豆町","","***","0.54","4.4","***","6.5","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","32304","（旧）島根県 東出雲町","","***","0.39","4.8","***","12.3","***","***","***","***","***","***","***","***","***"
"1993100000","1993年度","32401","（旧）島根県 斐川町","","***","0.47","1.4","***","10.1","***","***","***","***","***","***","***","***","***"
