"","","","","/項目 コード","B1101","B1102","B1103"
"調査年 コード","調査年","地域 コード","地域","/項目","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】"
"1983100000","1983年度","23483","（旧）愛知県 幡豆町","","2594","***","1160"
"1983100000","1983年度","32304","（旧）島根県 東出雲町","","3114","***","1160"
"1983100000","1983年度","32401","（旧）島根県 斐川町","","7278","***","5118"
"1982100000","1982年度","03422","（旧）岩手県 藤沢町","","12266","***","4343"
"1982100000","1982年度","09321","（旧）栃木県 西方町","","3182","***","1621"
"1982100000","1982年度","09367","（旧）栃木県 岩舟町","","4669","***","2944"
"1982100000","1982年度","11226","（旧）埼玉県 鳩ヶ谷市","","620","***","620"
"1982100000","1982年度","23481","（旧）愛知県 一色町","","2219","***","2164"
"1982100000","1982年度","23482","（旧）愛知県 吉良町","","3595","***","2694"
"1982100000","1982年度","23483","（旧）愛知県 幡豆町","","2594","***","1147"
"1982100000","1982年度","32304","（旧）島根県 東出雲町","","3114","***","1169"
"1982100000","1982年度","32401","（旧）島根県 斐川町","","7278","***","5117"
"1981100000","1981年度","03422","（旧）岩手県 藤沢町","","12266","***","4343"
"1981100000","1981年度","09321","（旧）栃木県 西方町","","3182","***","1621"
"1981100000","1981年度","09367","（旧）栃木県 岩舟町","","4669","***","2944"
"1981100000","1981年度","11226","（旧）埼玉県 鳩ヶ谷市","","620","***","620"
"1981100000","1981年度","23481","（旧）愛知県 一色町","","2219","***","2164"
"1981100000","1981年度","23482","（旧）愛知県 吉良町","","3595","***","2694"
"1981100000","1981年度","23483","（旧）愛知県 幡豆町","","2592","***","1145"
"1981100000","1981年度","32304","（旧）島根県 東出雲町","","3114","***","1169"
"1981100000","1981年度","32401","（旧）島根県 斐川町","","7278","***","5117"
